Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By Grace Methodist Church (Des Moines, Iowa). Women's Society of Christian Service. Circle 13. (Des Moines, Iowa : Inspiration Press, 1958.)","Des Moines, Iowa). Women's Society of Christian Service. Circle 13. (Des Moines, Iowa : Inspiration Press, 1958.)",Grace Methodist Church,A book of favorite recipes,"compiled by Circles 13 and 14 of the Women's Society of Christian Service of Grace Methodist Church, Des Moines, Iowa.",PARKS Special Collections,TX715.2 M53 B6628x 1958,1958,Item in place,Book,990015255970102756
"Book By Schoonover, David E. (Iowa City : University of Iowa Press, [1994])","Iowa City : University of Iowa Press, [1994])","Schoonover, David E.","The Cincinnati cookbook : household guide embracing menu, daily recipes, doctors prescriptions, and various suggestions for the coming generation",edited by David E. Schoonover.,PARKS General Collection,TX715 C5742 1994,1994,Item in place,Book,990018659190102756
"Book By First United Methodist Church (Iowa City, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)","Iowa City, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)",First United Methodist Church,Celebrating Iowa : First United Methodist Church sesquicentennial cookbook,"[First United Methodist Church, Iowa City, Iowa, and sponsored by United Methodist Women].",PARKS General Collection,TX715.2 M53 C42x 1996,1996,Item in place,Book,990018673310102756
"Book By Our Redeemer Lutheran Church Women (West Liberty, Iowa) ([Atalissa, Iowa (1923 155th St., Atalissa 52720)] : [Send orders to Our Redeemer Lutheran Church Women], [1997])","West Liberty, Iowa) ([Atalissa, Iowa (1923 155th St., Atalissa 52720)] : [Send orders to Our Redeemer Lutheran Church Women], [1997])",Our Redeemer Lutheran Church Women,"The seasons of our redeemer cookbook, West Liberty, Iowa.",,PARKS General Collection,TX715.2 M53 S42x 1997,1997,Item in place,Book,990015933530102756
"Book By Albert City (Iowa). Centennial Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, 1997.)","Iowa). Centennial Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, 1997.)",Albert City,"Albert City, Iowa centennial cookbook : 1899-1999, visit our past, explore our future",[Albert City Centennial Cookbook Committee],PARKS General Collection,TX715.2 M53 A415x 1997,1997,Item in place,Book,990016346840102756
"Book By Rose Cottage Tea Room and Gift Shop (Clear Lake, Iowa) (Deep River, Iowa : Brennan Printing, 2004.)","Clear Lake, Iowa) (Deep River, Iowa : Brennan Printing, 2004.)",Rose Cottage Tea Room and Gift Shop,"The Rose Cottage favorite new recipes cookbook, Clear Lake, Iowa.",,PARKS General Collection,TX715.2 M53 R67x 2004,2004,Item in place,Book,990015410940102756
"Book By Winnesheik County Care Facility. (Deep River, Iowa : Brennan Printing, 1988.)","Deep River, Iowa : Brennan Printing, 1988.)",Winnesheik County Care Facility.,"Winnesheik County Care Facility employees cookbook, Decorah, Iowa",[Winneshiek County Care Facility Cookbook Committee].,PARKS General Collection,TX715.2 M53 W5555x 1988,1988,Item in place,Book,990018548710102756
"Book By Neff, Diana L. (Princeton, Iowa : D.L. Neff, [1996])","Princeton, Iowa : D.L. Neff, [1996])","Neff, Diana L.","Spanning the bridge of time : special edition Iowa cookbook with timeless recipes, stories, history, poetry and music, 1846-1996",[compiled] by Diana L. Neff.,PARKS General Collection,TX715.2 M53 S676x 1996,1996,Item in place,Book,990018496760102756
"Book By Fuller, Linda. (Deep River, Iowa (100 Main St., Deep River, 52222) : Brennan Printing, 1989.)","Deep River, Iowa (100 Main St., Deep River, 52222) : Brennan Printing, 1989.)","Fuller, Linda.","St. Bridget, Victor, Iowa, the hub of two counties : cookbook.",,PARKS General Collection,TX715.2 M53 S2525x 1989,1989,Item in place,Book,990015933490102756
"Book By Cairo (Iowa). Cairo Reunion Committee. (Davenport, Iowa : Cairo Reunion Committee, 2003.)","Iowa). Cairo Reunion Committee. (Davenport, Iowa : Cairo Reunion Committee, 2003.)",Cairo,"Recipes & more from historic Cairo, Iowa : a collection of historical old time recipes with comments and photos from present and former residents of Cairo, Iowa",compiled by the 2002-03 Annual Cairo Reunion Committee.,PARKS General Collection,TX715.2 M53 R4526x 2003,2003,Item in place,Book,990014868850102756
"Book By Boettger, Kris. ([Cedar Falls, Iowa (11310 University Ave., Cedar Falls 50613)] : [Available from: Barn Happy], [2009?])","[Cedar Falls, Iowa (11310 University Ave., Cedar Falls 50613)] : [Available from: Barn Happy], [2009?])","Boettger, Kris.",Iowa happy cookbook! : whippin' up smiles in the kitchen : Kris and Mary's favorite recipes,[compiled by Kris Boettger and Mary Meyer].,PARKS General Collection,TX715.2 M53 I668x 2009,2009,Item in place,Book,990017543420102756
"Book By First Christian Church (Mason City, Iowa) (Lake Mills, Iowa : Stoyles Graphic Services, 1991?)","Mason City, Iowa) (Lake Mills, Iowa : Stoyles Graphic Services, 1991?)",First Christian Church,"First Christian Church of Mason City, Iowa : 1891-1991 centennial cookbook.",,PARKS General Collection,TX715.2 M53 F5715x 1991,1991,Item in place,Book,990018672230102756
"Book By All Iowa Fair. Cookbook Department. (Cedar Rapids, Iowa : All Iowa Fair, Cookbook Department, 1979.)","Cedar Rapids, Iowa : All Iowa Fair, Cookbook Department, 1979.)",All Iowa Fair. Cookbook Department.,Book of favorite recipes,submitted by participants and interested persons in the Family Living Center Food Department of The All Iowa Fair.,PARKS Special Collections,TX715.2 M53 B6655x 1979,1979,Item in place,Book,990016745220102756
"Book By Bethlehem Women of E.L.C.A. (Cherokee, Iowa). (Cherokee, Iowa : Bethlehem Lutheran Church?, 1989.)","Cherokee, Iowa). (Cherokee, Iowa : Bethlehem Lutheran Church?, 1989.)",Bethlehem Women of E.L.C.A.,"Bethlehem Lutheran Church cookbook : Cherokee, Iowa","[compiled by Bethlehem Women of the E.L.C.A., Cherokee, Iowa]",PARKS General Collection,TX715.2 M53 B49x 1989,1989,Item in place,Book,990016010440102756
"Book By Brooklyn (Iowa). East Poweshiek Ambulance Service. (Deep River, Iowa : Brennan Printing, 2002.)","Iowa). East Poweshiek Ambulance Service. (Deep River, Iowa : Brennan Printing, 2002.)",Brooklyn,"East Poweshiek ambulance service community cookbook, Brooklyn, Iowa.",,PARKS General Collection,TX715.2 M53 E27x 2002,2002,Item in place,Book,990014866470102756
"Book By Balser, Jean. (Des Moines, Iowa (P.O. Box 57130, Des Moines 50317-0003) : Iowa State Fair Cookbook, [2002])","Des Moines, Iowa (P.O. Box 57130, Des Moines 50317-0003) : Iowa State Fair Cookbook, [2002])","Balser, Jean.",America's hometown cookbook : recipes from the Iowa State Fair,"[editors, Jean Balser, Jean Koss and Kathie Swift].",PARKS Spec Coll: Archives,TX715 A5484x 2002,2002,Item in place,Book,990014086810102756
"Book By Visitation Parish (Stacyville,Iowa). St. Rita's Circle. (Audubon, IA : Jumbo Jack's Cookbooks, 1993.)","Stacyville,Iowa). St. Rita's Circle. (Audubon, IA : Jumbo Jack's Cookbooks, 1993.)",Visitation Parish,"Visitation Parish cookbook, 1873-1993, Stacyville, Iowa",[St. Rita's Circle of Visitation Parish],PARKS General Collection,TX715.2 M53 V57x 1993,1993,Item in place,Book,990019152410102756
"Journal ([Cedar Falls, Iowa] : publisher not identified 19uu)","[Cedar Falls, Iowa] : publisher not identified 19uu)",Journal,Cookbook.,,PARKS Special Collections,TX1 C66x,TX1 C66x,Item in place,Issue,990019560740102756
Mixed material (1854),1854),Mixed material,"Iowa local history collection, 1854-2000.",,PARKS Special Collections,MS-0080,0080,Item in place,Mixed material,990018166920102756
"Book By American Legion. Post 53 (Grinnell, Iowa) (Collierville, Tenn. : Fundcraft Publishing, [1984])","Grinnell, Iowa) (Collierville, Tenn. : Fundcraft Publishing, [1984])",American Legion. Post 53,A collection of recipes,sponsored by The American Legion Post 53 & Grinnell Senior Citizens.,PARKS General Collection,TX715.2 M53 C651x 1984,1984,Item in place,Book,990016190640102756
"Book By Herrin, Judy. ([Deep River, Iowa] : [Brennan Printing], [1988])","[Deep River, Iowa] : [Brennan Printing], [1988])","Herrin, Judy.","Slater Centennial cookbook : Slater, Iowa, July 1, 2, 3, 4 1889-1989","[Cookbook Committee, Judy Herrin, chairman].",PARKS General Collection,TX715.2 M53 S62x 1988,1988,Item in place,Book,990015973990102756
"Book By Iowa Honey Producers Association. (Kearney, Neb. : Morris Press, [1999])","Kearney, Neb. : Morris Press, [1999])",Iowa Honey Producers Association.,Iowa honey recipes : a collection of recipes,by Iowa Honey Producers Association.,PARKS General Collection,TX767 H7 I59x 1999,1999,Item in place,Book,990018965930102756
"Book By Hoffman, Marybeth. (Collierville, Tenn. : Fundcraft Publishing, [1977])","Collierville, Tenn. : Fundcraft Publishing, [1977])","Hoffman, Marybeth.",Berry-good recipes,"from: Mardi Gras, a Beacon celebration, Beacon, Iowa.",PARKS General Collection,TX715.2 M53 B43x 1977,1977,Item in place,Book,990016210570102756
"Book By Favorite Recipes Press. (Nashville, Tenn. : Favorite Recipes Press, 1998.)","Nashville, Tenn. : Favorite Recipes Press, 1998.)",Favorite Recipes Press.,"KWQC-TV6 50th anniversary cookbook : a collection of recipes & memories, celebrating a half century in broadcasting.",,PARKS General Collection,TX714 K93 1998,1998,Item in place,Book,990018548650102756
"Book By Stewart Library. Friends of Stewart Library. (Kearney, NE : Morris Press Cookbooks, [2006])","Kearney, NE : Morris Press Cookbooks, [2006])",Stewart Library. Friends of Stewart Library.,"The next chapter cookbook : cooking up a new library in Grinnell, Iowa",compiled by Friends of Stewart Library.,PARKS Special Collections,TX715.2 M53 N497x 2006,2006,Item in place,Book,990016522090102756
"Book By St. Francis of Assisi Catholic Church (Maple River Junction, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2003.)","Maple River Junction, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2003.)",St. Francis of Assisi Catholic Church,"Saint Francis of Assisi centennial cookbook, 1904-2004, Maple River Junction, Iowa",[compiled by the church's cookbook committee].,PARKS General Collection,TX715.2 M53 S24x 2003,2003,Item in place,Book,990014986080102756
"Book By Jefferson County Hospital (Fairfield, Iowa). (Waverly, Iowa : G & R Publishing Co., [1987])","Fairfield, Iowa). (Waverly, Iowa : G & R Publishing Co., [1987])",Jefferson County Hospital,"Jefferson County Hospital Diamond Jubilee Cookbook : Fairfield, Iowa 1912-1987",[Jefferson County Hospital].,PARKS General Collection,TX715.2 M53 J444x 1987,1987,Item in place,Book,990016429880102756
"Book (Deep River, Iowa : Brennan Publishing, 1988.)","Deep River, Iowa : Brennan Publishing, 1988.)",Book,"Keokuk County centennial fair cookbook : What Cheer, Iowa 1888-1988.",,PARKS General Collection,TX715.2 M53 K46x 1988,1988,Item in place,Book,990016437580102756
"Book By Iowa Veterans Home (Marshalltown, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, [1987])","Marshalltown, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, [1987])",Iowa Veterans Home,Centennial cookbook,"Iowa Veterans Home, Marshalltown, Iowa, residents, staff & volunteers.",PARKS General Collection,TX715.2 M53 C4626x 1987,1987,Item in place,Book,990016231230102756
"Book By Historic Central School (Lake City, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1998.)","Lake City, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1998.)",Historic Central School,"Historic Central School cookbook : 1884-1998, Lake City, Iowa","[Historic Central School, Lake City, Iowa]",PARKS General Collection,TX715.2 M53 H57x 1998,1998,Item in place,Book,990016322810102756
"Book By Iowa Federation of Women's Clubs. (Audubon, Iowa : Jumbo Jack's Cookbook Co., [1986?])","Audubon, Iowa : Jumbo Jack's Cookbook Co., [1986?])",Iowa Federation of Women's Clubs.,GFWC Iowa Federation of Women's Clubs,[Iowa Federation of Women's Clubs],PARKS General Collection,TX715.2 M53 G49x 1986,1986,Item in place,Book,990017365330102756
"Book ([Iowa Falls, Iowa?] : [publisher not identified], [1984?])","[Iowa Falls, Iowa?] : [publisher not identified], [1984?])",Book,Cooks corner cook book. VII : a collection of the most delicious recipes from this area's finest cooks.,,PARKS Special Collections,TX715.2 M53 C6773x 1984,1984,Item in place,Book,990019072960102756
"Book (Audubon, Iowa : Jumbo Jack's Cookbook Company, [1986])","Audubon, Iowa : Jumbo Jack's Cookbook Company, [1986])",Book,Elma 1886-1986.,,PARKS General Collection,TX715.2 M53 E45x 1986,1986,Item in place,Book,990019488780102756
"Book (Olathe, Kan. : Cookbook Publishers, [1989])","Olathe, Kan. : Cookbook Publishers, [1989])",Book,Louis Rich employees cookbook,"[Louis Rich Employees, West Liberty, Iowa].",PARKS General Collection,TX715.2 M53 L675x 1989,1989,Item in place,Book,990018656090102756
"Book By Zion Evangelical Lutheran Church (Humboldt, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 2009.)","Humboldt, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 2009.)",Zion Evangelical Lutheran Church,"125th anniversary cookbook, 1884-2009 : Zion Evangelical Lutheran Church, LC-MS, Humboldt, Iowa.",,PARKS General Collection,TX715.2 M53 A1645x 2009,2009,Item in place,Book,990017895970102756
"Book By Iowa Fish & Game Officers Association. (Audubon, Iowa : Jumbo Jack's Cookbook Co., [1987])","Audubon, Iowa : Jumbo Jack's Cookbook Co., [1987])",Iowa Fish & Game Officers Association.,Wardens' cookbook,[Iowa Fish & Game Officers Association].,PARKS General Collection,TX751 W37x 1987,1987,Item in place,Book,990016435140102756
"Book By Koss, Jean, (Des Moines, Iowa : Iowa State Fair, [2020])","Des Moines, Iowa : Iowa State Fair, [2020])","Koss, Jean,",Iowa State Fair cookbook : prize winning recipes from 2018 and 2019,"[editors, Jean Koss, Jean Lucas, Mindy Williamson, and Whitney Warner]",PARKS General Collection,TX715.2 M53 I69228x 2020,2020,Item in place,Book,9921449312502756
"Book By Iowa State Fair, (Des Moines, Iowa : Iowa State Fair, [2016])","Des Moines, Iowa : Iowa State Fair, [2016])","Iowa State Fair,",Iowa State Fair cookbook : prize winning recipes from the 2014 & 2015 fairs.,,PARKS General Collection,TX715.2 M53 I69228x 2016,2016,Item in place,Book,9920403674602756
"Book By Volunteer Fire Department (Eldon, Iowa). Auxiliary. (Iowa Falls, Iowa : General Publishing and Binding, 1978.)","Eldon, Iowa). Auxiliary. (Iowa Falls, Iowa : General Publishing and Binding, 1978.)",Volunteer Fire Department,[Cookbook,compiled by members of the Eldon Fire Dept. Auxiliary].,PARKS General Collection,TX715.2 M53 C66716x 1978,1978,Item in place,Book,990016366790102756
"Book By Iowa State Fair. (Des Moines, Iowa : Iowa State Fair Authority, [2010])","Des Moines, Iowa : Iowa State Fair Authority, [2010])",Iowa State Fair.,Iowa State Fair cookbook : prize-winning recipes from the 2008 & 2009 fairs.,,PARKS General Collection,TX715.2 M53 I69228x 2010,2010,Item in place,Book,990018290760102756
"Book By Iowa State Fair. (Des Moines, IA : Iowa State Fair Authority, [2008])","Des Moines, IA : Iowa State Fair Authority, [2008])",Iowa State Fair.,Iowa State Fair cookbook : prize-winning recipes from the 2006 & 2007 fairs.,,PARKS General Collection,TX715.2 M53 I69228x 2008,2008,Item in place,Book,990017164030102756
"Book By Hinton, Maxine, (Ames, Iowa Iowa State University of Science and Technology, Cooperative Extension Service 1968.)","Ames, Iowa Iowa State University of Science and Technology, Cooperative Extension Service 1968.)","Hinton, Maxine,",Family meals and weight-control,"prepared by Maxine Hinton, associate professor of food and nutrition.",PARKS Spec Coll: Archives,RM222 H568 1968,1968,Item in place,Book,9920553488702756
"Book By Iowa State Fair. (Des Moines, IA : Iowa State Fair Authority, [2012])","Des Moines, IA : Iowa State Fair Authority, [2012])",Iowa State Fair.,Iowa State Fair cookbook : prize-winning recipes from the 2010 & 2011 fairs.,,PARKS General Collection,TX715.2 M53 I69228x 2012,2012,Item in place,Book,990019593760102756
"Book By Carlson, Einar, (Deep River, Iowa : Brennan Printing, 1988.)","Deep River, Iowa : Brennan Printing, 1988.)","Carlson, Einar,","Thank heaven for home made cooks : 75th anniversary cookbook, Bethlehem Lutheran Church, Vinton, Iowa","[Committee, Einar and LuRene Carlson ... and others].",PARKS General Collection,TX715.2 M53 T53x 1988,1988,Item in place,Book,990015933510102756
"Book By Des Moines Register and Tribune Company, (Des Moines, Iowa : Des Moines Register and Tribune, 1934.)","Des Moines, Iowa : Des Moines Register and Tribune, 1934.)","Des Moines Register and Tribune Company,",The Iowa housewives cook book and home guide : Prize winning recipes in the Iowa Housewives Recipe Contest.,,PARKS Special Collections,TX715.2 M53 I675x 1934,1934,Item in place,Book,990020107190102756
"Book By Lytton Centennial Cookbook Committee (Lytton, Iowa). (Audubon, IA : Jumbo Jack's Cookbooks, 1998.)","Lytton, Iowa). (Audubon, IA : Jumbo Jack's Cookbooks, 1998.)",Lytton Centennial Cookbook Committee,Lytton centennial 2000,[compiled by the Lytton Centennial Cookbook Committee].,PARKS General Collection,TX715.2 M53 L98x 1998,1998,Item in place,Book,990019674200102756
